wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
brick,1,5.0,18.0,3.0,55.723379,37.628577,5600000
brick,1,5.0,15.0,3.0,55.72598000000001,37.671031,4650000
brick,1,5.0,11.9,1.5,55.735976,37.657817,2990000
brick,1,7.0,18.4,3.0,55.786698,37.595321000000006,4390000
brick,2,5.0,17.6,2.0,55.76789399999999,37.66592,4890000
brick,5,9.0,21.5,3.0,55.784066,37.637425,8050000
brick,5,9.0,21.5,3.0,55.784066,37.637425,8050000
monolithBrick,1,3.0,29.0,6.0,55.76324,37.651825,15895000
brick,5,8.0,28.8,6.5,55.776472,37.598869,10500000
brick,1,5.0,25.2,2.0,55.735976,37.657817,4850000
monolithBrick,5,9.0,29.0,7.0,55.775544999999994,37.672118,8450000
brick,2,9.0,29.5,5.8,55.777868999999995,37.706711999999996,8449999
brick,5,8.0,28.8,7.0,55.776472,37.598869,10500000
monolithBrick,12,30.0,30.0,10.0,55.75461800000001,37.524058000000004,9500000
brick,4,5.0,32.6,5.0,55.73478000000001,37.653909000000006,8000000
brick,3,5.0,30.0,6.0,55.767165000000006,37.658356,9500000
panel,9,12.0,31.0,7.2,55.731642,37.565614000000004,11500000
block,2,9.0,31.0,6.0,55.733340000000005,37.662496999999995,9900000
brick,8,8.0,31.0,6.9,55.726046,37.581487,10800000
brick,3,8.0,30.7,5.0,55.78908199999999,37.627795,8300000
brick,7,9.0,32.0,5.8,55.791222999999995,37.631532,8500000
brick,2,5.0,30.3,5.4,55.783787,37.674741,8900000
brick,8,8.0,32.0,7.0,55.726046,37.581487,10800000
brick,3,6.0,32.3,6.0,55.73724300000001,37.641737,11000000
brick,3,10.0,31.2,7.0,55.775893999999994,37.595564,11500000
brick,3,10.0,31.2,7.0,55.775893999999994,37.595564,11500000
brick,3,10.0,31.2,7.0,55.775893999999994,37.595564,11500000
brick,5,5.0,31.0,6.0,55.75677099999999,37.520734000000004,8000000
brick,2,5.0,30.0,6.0,55.762541000000006,37.67272,8500000
brick,3,5.0,31.0,5.0,55.781565,37.591728,9000000
brick,3,9.0,32.8,9.1,55.736757,37.658491,10500000
brick,2,5.0,32.0,6.0,55.72985799999999,37.591288,10850000
monolith,2,9.0,31.0,6.0,55.723491,37.611329,11000000
brick,4,8.0,31.6,5.0,55.77356999999999,37.62952,14500000
brick,8,9.0,34.5,6.5,55.783367000000005,37.587173,9600000
monolith,5,9.0,33.0,5.6,55.774811,37.678559,8880000
brick,5,8.0,33.4,10.0,55.747323,37.66203,9500000
block,1,12.0,34.7,10.0,55.771818,37.705185,6900000
panel,4,9.0,33.2,7.7,55.782856,37.592321000000005,9400000
block,10,12.0,34.8,10.2,55.744783999999996,37.680471999999995,9500000
brick,4,6.0,33.5,6.7,55.754583,37.594674,16500000
monolith,5,9.0,33.0,6.0,55.774811,37.678559,8900000
block,6,9.0,33.0,6.0,55.72164,37.606658,9999999
panel,8,16.0,34.0,9.4,55.776006,37.646274,10500000
panel,14,24.0,33.0,9.0,55.753154,37.594035999999996,11000000
brick,4,9.0,33.0,6.0,55.743634,37.640488,11500000
monolith,11,12.0,37.74,7.0,55.770811,37.591189,16600000
block,2,14.0,36.0,8.0,55.734151000000004,37.61892,12000000
block,10,14.0,35.0,10.0,55.78038000000001,37.64524,10700000
brick,3,8.0,36.1,8.5,55.767722,37.565973,11000000
block,9,12.0,36.0,10.0,55.764196999999996,37.565245000000004,11100000
monolith,10,12.0,37.45,10.0,55.770811,37.591189,16600000
brick,1,9.0,36.9,7.8,55.761872,37.562676,9000000
block,3,5.0,35.3,6.7,55.74225500000001,37.662991,9200000
panel,5,17.0,36.5,7.5,55.743041000000005,37.687659000000004,9500000
panel,12,17.0,37.8,8.0,55.743988,37.686545,10800000
block,10,12.0,35.0,10.0,55.740046,37.660889000000005,11500000
stalin,3,7.0,36.5,7.0,55.76797,37.573025,13500000
brick,3,7.0,36.5,7.0,55.76797,37.573025,13500000
block,1,12.0,35.0,9.8,55.781108999999994,37.641584,7950000
block,3,12.0,36.0,11.0,55.744783999999996,37.680471999999995,8200000
block,5,12.0,35.7,9.7,55.744662,37.686437,8300000
brick,7,9.0,37.4,7.6,55.791876,37.624418,9350000
panel,2,12.0,35.3,10.0,55.782284,37.589428000000005,9450000
brick,8,14.0,36.0,8.0,55.788717000000005,37.629888,9800000
brick,4,9.0,37.2,8.0,55.761872,37.562676,10900000
brick,3,8.0,36.0,9.0,55.779692000000004,37.668704,12200000
brick,8,8.0,36.6,4.5,55.776472,37.598869,13999000
brick,5,12.0,36.0,7.0,55.748665,37.57687,15900000
brick,9,9.0,36.1,8.5,55.748741,37.585089,16500000
brick,2,7.0,35.0,8.0,55.738951,37.58367,16400000
monolith,11,12.0,37.74,10.0,55.770811,37.591189,22000000
brick,6,9.0,36.0,8.0,55.791876,37.624418,9990000
panel,3,12.0,38.0,12.0,55.731642,37.565614000000004,14500000
monolith,7,12.0,39.1,7.0,55.770811,37.591189,17600000
monolith,10,25.0,39.0,9.0,55.740015,37.68765,9750000
panel,1,10.0,39.0,10.0,55.775833999999996,37.644171,10900000
brick,3,7.0,39.1,5.1,55.737095999999994,37.677607,9350000
block,1,9.0,38.0,6.0,55.732286,37.672154,8100000
block,9,16.0,38.0,9.8,55.790651000000004,37.640093,8900000
monolith,14,17.0,38.0,8.0,55.741166,37.682269,9900000
block,1,12.0,38.1,6.5,55.790514,37.632278,9250000
panel,7,9.0,38.0,8.0,55.791876,37.624418,9350000
block,10,12.0,38.8,6.0,55.763417000000004,37.547028000000005,9950000
brick,5,7.0,39.4,5.3,55.768071,37.669306,10200000
panel,9,17.0,38.7,7.3,55.743988,37.686545,11000000
block,8,14.0,39.0,6.0,55.722614,37.609235999999996,12600000
block,12,12.0,39.2,4.1,55.770547,37.572136,13350000
monolith,4,7.0,39.0,10.0,55.730948,37.644009999999994,21800000
panel,8,12.0,38.0,10.0,55.773363,37.709021,8600000
panel,17,17.0,38.0,7.1,55.741080000000004,37.683877,8700000
brick,5,12.0,38.0,10.0,55.775636,37.684587,10799000
brick,2,14.0,38.0,8.6,55.73741,37.631757,13600000
brick,8,9.0,38.0,7.0,55.731774,37.611455,13700000
monolith,34,36.0,38.0,12.0,55.75133,37.526887,11500000
monolith,50,65.0,40.0,8.0,55.751143000000006,37.533733000000005,20112960
monolith,50,65.0,40.0,8.0,55.751143000000006,37.533733000000005,20112960
monolith,51,65.0,40.0,8.0,55.751143000000006,37.533733000000005,20394000
monolith,52,65.0,40.0,8.0,55.751143000000006,37.533733000000005,20631940
brick,3,8.0,42.7,5.0,55.773626,37.582071,12700000
monolith,5,14.0,40.14,10.0,55.77123100000001,37.642707,15052500
monolith,11,13.0,40.0,6.0,55.766116000000004,37.567051,19990000
monolith,11,13.0,40.0,23.0,55.766116000000004,37.567051,19990000
block,1,5.0,42.3,6.0,55.786252000000005,37.590138,10600000
panel,5,12.0,40.0,7.0,55.77715500000001,37.706919,8100000
block,3,12.0,40.0,7.0,55.768060999999996,37.678514,10000000
brick,2,5.0,41.5,7.2,55.756715,37.553055,10000000
brick,3,5.0,41.0,6.0,55.761943,37.564859000000006,10850000
monolith,24,42.0,40.0,10.0,55.75133,37.526887,11500000
brick,9,14.0,42.0,8.3,55.778325,37.638647,12000000
brick,4,5.0,42.6,5.8,55.731494999999995,37.563934,12000000
brick,1,3.0,42.0,5.0,55.771899,37.624094,12500000
block,1,9.0,40.1,7.0,55.726092,37.568614000000004,12999990
brick,6,13.0,40.0,8.7,55.73741,37.631757,13400000
